13.466	42.362	21.380	17.038	-1.330	0.271	0.280	0.806	# PAGA
14.498	42.164	22.750	18.640	-0.949	0.194	0.199	0.723	# PAGL
16.784	41.142	22.730	17.672	0.068	0.376	0.336	1.068	# PALB
15.960	40.944	23.662	19.063	1.070	0.168	0.169	0.569	# PALZ
14.701	41.012	20.410	15.376	-1.411	1.174	1.401	4.523	# PANN
14.567	41.031	21.629	16.850	0.769	0.213	0.186	0.560	# PAOL
14.228	42.124	22.506	19.402	0.325	0.348	0.290	1.481	# PBRA
14.201	42.470	23.439	18.280	-1.720	0.251	0.217	0.949	# PESC
14.860	42.011	27.487	26.790	4.810	0.641	0.520	1.464	# PETC
14.180	41.200	21.352	17.648	1.328	0.157	0.197	0.603	# PIGN
15.129	41.544	27.430	14.364	-1.202	0.194	0.242	0.674	# PMCO
15.745	42.225	22.534	18.400	0.230	0.363	0.345	1.274	# PNSA
13.712	41.717	21.657	17.882	0.220	0.195	0.226	0.626	# POFI
16.254	40.917	23.390	19.658	0.700	0.318	0.323	1.006	# POGG
14.477	40.849	21.980	17.110	2.510	0.444	1.354	2.696	# PRET
14.811	41.223	22.081	17.490	1.360	0.195	0.165	0.616	# PSB1
14.529	41.364	22.270	17.517	1.270	0.250	0.281	0.922	# PTRJ
14.144	40.878	22.830	24.520	7.025	0.404	0.442	1.032	# QUAR
13.811	42.102	22.456	19.167	1.305	0.758	0.653	2.445	# RAIA
14.329	41.491	21.008	18.790	6.150	0.686	0.849	2.510	# RCMA
15.603	41.659	24.100	18.439	4.501	0.403	0.673	2.444	# RGAR
12.853	42.403	20.514	16.670	-0.290	0.394	0.435	1.236	# RIET
14.706	41.397	22.184	17.959	0.410	0.333	0.358	0.702	# SACR
15.394	40.696	21.897	18.080	3.271	0.705	0.557	1.751	# SGMA
15.744	41.755	23.450	18.526	0.490	0.177	0.199	0.576	# SGRT
15.365	41.136	23.440	18.278	0.860	0.201	0.219	0.618	# SGTA
14.630	41.277	21.046	16.580	2.088	0.437	0.450	1.147	# SLPO
15.209	40.925	22.531	16.880	0.959	0.201	0.224	0.860	# SNAL
16.879	41.108	23.189	17.765	-1.289	0.238	0.269	1.042	# SNIK
15.511	42.124	23.430	18.651	0.030	0.124	0.138	0.532	# TREM
14.550	41.767	23.870	18.387	-0.360	0.217	0.238	0.707	# TRIV
14.988	42.005	21.580	17.544	0.180	0.287	0.537	1.055	# TRMI
14.777	41.131	21.317	15.880	1.530	0.321	0.335	1.043	# UBEN
14.234	41.415	22.952	19.154	-0.068	0.338	0.540	0.704	# VAGA
14.630	41.183	21.814	16.994	0.970	0.211	0.238	0.641	# VITU
15.616	40.955	23.489	19.017	0.881	0.186	0.188	0.579	# VULT
13.623	41.870	21.770	17.295	1.301	0.231	0.260	0.613	# VVLO
